banke,1
beni,2
bhairahawa,2
bhaktapur,11
bhakrpur,1
bharatpur,79
bharatpur-10,4
13,2 bharatpur
chitwan,1 bharatpur,
bhojpur,1
bhubaneswar,1
biratnagar,2
nepal,2 birgunj,
butwal,4
rupandehi,1 butwal,
canada,1
chitwan,25
dharan,3
dhulikhel,2
dublin,1
fukuoka,2
gaidakot,1
gaighat,3
gaindakot,2
gorkha,1
gulariya,1
hetauda,14
jasju,1
jorpati,1
kailashnagar,2
bara,1 kalaiya,
kaski,2
kathmandu,97
anamnagar,1 kathmandu,
kathmandu,nepal,2
khumaltar,1
koteshwor,1
krishnanagar,1
ktm,1
kumaripati,1
lahan,1
lainchaur,1
lalbandi,2
lalitpur,6
lekhnath,10
london,1
madhyapur,1
manthali,1
myagdi,1
nakkhu,1
narayangarh,1
naraynghat,5
nepalgunj,1
palpa,1
pkhara,1
pkr,1
pok,1
pokhara,332
8,1 pokhara
putalibazaar,2
ratnanagar,2
seoul,1
sharadpur,1
sirutar,1
syangja,1
tandi,7
tokyo,1
triyuga,1
